country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.054,0.049,0.038,0.032,0.023,0.019,0.018,0.02,0.02,0.02,0.026,0.025,0.023,0.023,0.026,0.028,0.029,0.03,0.031,0.031,0.031,0.031,0.036,0.04,0.043,0.042,0.042,0.041,0.04,0.042,0.043,0.041,0.041,0.041,0.0405,0.041,,,0.039
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,,0.094,,,0.091,0.0813,0.115,0.111,0.13,0.139,0.129,0.108,,,,0.101,0.0944,0.078,0.0825,0.0872,0.118,0.121,0.15,0.201,0.205,0.15,0.156,0.142,0.137,0.119,,0.112,0.113,0.121,0.11,0.101,0.0974,0.0905,0.0857,0.083,0.0869,0.0887
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0457,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0285,,,,,,,0.0449,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,0.0978,0.0877,0.0906,0.09,0.086,0.0814
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0722,0.0425,,,0.026,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.136,0.161,0.158,0.151,0.139,0.137,0.126,0.111,0.0991,0.0853,0.092,0.116,0.137,0.159,0.173,0.173,0.162,0.131,0.112
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0827,0.0761,0.071,0.0623,0.0626,0.0545,0.0408,0.0331,0.0233,0.0185,0.0195,0.0191,0.0179,0.0158,0.0167,0.025,0.0318,,0.0329,0.027,0.024,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0497,0.0398,0.033,0.0414,0.0433,0.053,0.0454,0.0392,0.0365,0.0536,0.0626,0.0786,0.118,0.159,0.161,0.149,0.129,0.111
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0432,0.043,0.0402,0.0389,0.0427,0.059,0.0849,0.0876,0.0799,0.0702,0.0754,0.0821,0.0793,0.0715,0.0532,0.0439,0.0666,0.0728,0.0671,0.0698,0.0695,0.0611,0.0505,0.0395,0.0289
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0974,0.0887,0.078,0.0603,0.0609,0.0649,0.0815,0.0834,0.091,0.0903,0.107,0.0804,0.0699,0.0684,0.054,0.0504,0.0514,0.0448,0.0416,0.0427,0.054,0.052,0.0483,0.039,0.038,0.0343,0.0601,0.0746,0.0757,0.0753,0.07,0.0659,0.0617,0.0618,0.0574
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113,,,,,,,,0.232,,0.157,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0761,0.0728,0.0583
