country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,0.0864,0.0809,0.0832,0.0937,0.07,0.106,0.0857,0.0737,0.106,0.086,0.0903,0.0772,0.103,0.0991,0.0997,0.0747,0.0717,0.076,0.0809,0.0799,0.0846,0.0794,0.0795,0.0887,0.0815
Equatorial Guinea,,,,,,,,,,,,,,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,0.019,,0.0238,0.0278,0.0341,,0.0186,0.0199,0.0191,0.0114,0.0098,0.0044,0.0031,0.0017,0.0015,0.0021,0.002,0.0017,0.003,0.0022,0.0018,0.0013,0.0023,0.0034,0.0026,0.0022,0.0019,0.0006,0.0019
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0155,,,,,,,,,,,,,,,,,,,0.0283,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577,,,,,,0.644,,,,,,,,0.586,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173,,,,,,0.331,,,0.0027,,0.0106,
Finland,,,,,,,,,,,,,,,,,,,,0.0117,0.0109,0.0096,0.0093,0.0099,0.008,0.0135,0.0139,0.0084,0.005,0.0076,0.0061,0.0059,0.0049,0.004,0.0032,0.0044,0.0049,0.0045,0.0042,0.0041,0.0049,0.0035,0.004,0.0033,0.0038,0.0037,0.0047,0.0035
France,,,,,,,,,,,,,,0.09,0.0912,0.0852,0.0786,0.0715,0.0659,0.0577,0.0551,0.05,0.0492,0.0438,0.0422,0.0378,0.0341,0.0322,0.0287,0.0279,0.0231,0.0204,0.0196,0.0201,0.0185,0.0154,0.0145,0.0105,0.0099,0.0101,0.0085,0.0082,0.007,0.007,0.007,0.0064,0.0065,0.0055
Gabon,,,,,,,,,,,,,,,,,,,,,,,,0.0533,,,,,,,,,,,,,,,,,0.0193,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403,0.401,0.367,0.402,0.371,0.388,0.376,0.39,,,0.348,0.329,0.312,0.328,0.329,0.319,0.31,0.298,0.293,0.28
Germany,,,,,,,,,,,,,,0.0791,0.0749,0.0617,0.0607,0.055,0.0533,0.0459,0.043,0.0292,0.0287,0.0276,0.0262,0.0265,0.0192,0.0175,0.0183,0.0152,0.0142,0.0213,0.0192,0.0169,0.0191,0.0194,0.0174,0.0177,0.0151,0.0102,0.0089,0.0088,0.0078,0.0071,0.0066,0.0058,0.0055,0.0053
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,,0.278,,0.135,,
