country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cyprus,,,,,,,0.475,0.463,0.435,0.439,0.447,0.461,0.474,0.487,0.494,0.509,0.52,0.53,0.539,0.552,0.563,0.572,0.585,0.602,0.62,0.63,,,,,0.708,0.715,0.716,0.719,0.715,0.712,0.731,0.731,0.727,0.743,0.758,0.753,0.769,0.793,0.79,0.798,0.793,0.804
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,0.487,0.504,0.511,0.518,0.526,0.529,0.541,0.548,0.546,0.549,0.556,0.563,0.565,0.563,0.562,0.563,0.583,0.589,0.585,0.588,0.595,0.592,0.59,0.59,0.591
Denmark,,,0.555,0.562,0.575,0.583,0.587,0.597,0.601,0.593,,0.625,,0.643,0.663,0.652,0.635,0.637,0.667,0.665,0.667,0.663,0.676,0.685,0.681,0.684,0.696,0.697,0.697,0.695,0.708,0.709,0.731,0.734,0.729,0.728,0.735,0.735,0.744,0.771,0.779,0.777,0.776,0.778,0.781,0.78,0.781,0.782
Dominica,,,,,,,,,,,,,,,,,,,,0.399,,0.446,,,,,,0.538,,0.54,,0.588,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,0.727,,0.723,,,,,,,,,,,,,,,,,,0.541,0.545,0.568,0.571,0.598,0.62,0.632,0.635,0.626,0.637,0.64,0.647,0.659,0.687,0.691,0.698,0.701,0.718,0.71,0.719,0.721,0.71
Ecuador,,,,,,,,,,,,,,,,,,,0.686,0.689,0.663,0.674,0.691,0.678,0.702,0.719,0.718,0.708,0.712,0.691,0.508,0.501,0.689,0.516,0.516,0.521,0.518,0.529,0.533,0.526,0.536,0.541,0.545,0.543,0.548,0.541,0.544,0.538
Egypt,0.301,0.3,0.299,0.307,0.335,0.321,,0.353,0.346,0.35,0.357,0.36,0.376,0.361,0.362,,,,,0.368,0.401,0.438,0.4,0.43,0.433,0.441,0.446,0.462,0.479,0.487,0.491,0.502,0.519,0.504,0.482,0.475,0.466,0.46,0.453,0.462,0.463,0.471,0.481,0.479,0.48,0.491,0.488,0.484
El Salvador,,,,,,0.374,,,0.385,0.363,0.415,,,,,0.444,0.673,,0.633,0.628,0.634,0.61,0.415,,0.461,0.467,0.47,0.501,0.503,0.529,0.541,0.545,0.557,0.572,0.572,0.578,0.582,0.586,0.579,0.584,0.579,0.571,0.58,0.601,0.604,0.597,0.602,0.595
Equatorial Guinea,,,,,,,,,,,,,,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,0.415,0.418,0.437,0.459,0.508,0.534,0.556,0.566,0.568,0.578,0.598,0.586,0.599,0.636,0.631,0.61,0.607,0.614,0.6,0.607,0.644,0.654,0.631,0.643,0.654,0.659,0.653,0.662,0.662
